0.0569802,2.50203,41.7534,-1.57436,2.6,42,-1.57,2.6,42,-1.62,
0.156672,2.50196,41.7532,-1.57436,2.6,42,-1.57,2.6,42,-1.62,
0.256619,2.50196,41.7532,-1.57436,2.6,42,-1.57,2.6,42,-1.62,
0.356665,2.50196,41.7532,-1.57436,2.6,42,-1.57,2.6,42,-1.62,
0.456627,2.50196,41.7532,-1.57436,2.6,42,-1.57,2.6,42,-1.62,
0.556678,2.50196,41.7532,-1.57436,2.6,42,-1.57,2.6,42,-1.62,
0.656681,2.50196,41.7532,-1.57436,2.6,42,-1.57,2.6,42,-1.62,
0.75749,2.50189,41.753,-1.57436,2.6,42,-1.57,2.6,42,-1.62,
0.856653,2.50356,41.7511,-1.57436,2.60225,41.9978,-1.57,2.60214,41.9976,-1.62,
0.956529,2.50526,41.7465,-1.57667,2.60489,41.9918,-1.57341,2.60382,41.9923,-1.62313,
1.05657,2.51021,41.7376,-1.57519,2.6099,41.9813,-1.57855,2.60933,41.9817,-1.62078,
1.15661,2.51901,41.7224,-1.57446,2.61827,41.9647,-1.59074,2.61909,41.9632,-1.62,
1.25673,2.53383,41.7053,-1.57437,2.63027,41.9502,-1.61407,2.6345,41.945,-1.62,
1.35681,2.54894,41.6846,-1.57432,2.63962,41.9408,-1.6238,2.64953,41.9219,-1.62,
1.45648,2.56627,41.665,-1.5743,2.6409,41.9456,-1.61607,2.66671,41.9014,-1.62,
1.55663,2.58098,41.6445,-1.57616,2.63344,41.9607,-1.60815,2.68026,41.8798,-1.62234,
1.65773,2.59598,41.6219,-1.581,2.6268,41.9654,-1.60921,2.69419,41.8558,-1.62785,
1.75655,2.60542,41.5932,-1.57416,2.62419,41.9595,-1.60253,2.70698,41.8298,-1.62459,
1.85658,2.61604,41.5635,-1.56854,2.6284,41.9448,-1.58883,2.72074,41.8021,-1.62068,
1.95657,2.62646,41.5322,-1.56403,2.63642,41.9225,-1.57667,2.73345,41.7725,-1.61757,
2.05678,2.63416,41.501,-1.55855,2.64264,41.8973,-1.57044,2.74247,41.7431,-1.61285,
2.15664,2.63741,41.4665,-1.55629,2.64339,41.8657,-1.56841,2.7459,41.7098,-1.61207,
2.2565,2.64579,41.4347,-1.55404,2.6463,41.832,-1.56725,2.75233,41.6769,-1.6097,
2.35856,2.6541,41.3989,-1.55224,2.65561,41.7925,-1.56141,2.75958,41.6324,-1.60816,
2.45655,2.66235,41.3621,-1.55192,2.66164,41.7566,-1.56153,2.76448,41.6018,-1.60816,
2.55638,2.67028,41.3226,-1.55621,2.668,41.7135,-1.56879,2.77002,41.5608,-1.61369,
2.65645,2.67654,41.2835,-1.5631,2.67175,41.6696,-1.58183,2.77347,41.521,-1.6216,
2.75762,2.68166,41.2424,-1.57126,2.67365,41.6212,-1.58885,2.77462,41.4801,-1.62397,
2.85675,2.68357,41.1988,-1.57383,2.6712,41.5704,-1.58487,2.77217,41.4363,-1.62163,
2.95674,2.68546,41.1549,-1.57284,2.67039,41.5195,-1.57274,2.77061,41.3929,-1.61701,
3.05669,2.68674,41.1073,-1.57784,2.66968,41.4709,-1.57622,2.76834,41.3449,-1.62177,
3.15771,2.68784,41.0599,-1.58141,2.66807,41.4186,-1.58775,2.76618,41.2981,-1.62413,
3.25661,2.68722,41.0123,-1.58611,2.66602,41.36,-1.59276,2.76317,41.2488,-1.62981,
3.35675,2.68406,40.9604,-1.58434,2.66061,41.2945,-1.58978,2.75712,41.1974,-1.62649,
3.45664,2.68112,40.9067,-1.5849,2.65488,41.2201,-1.58621,2.75174,41.1431,-1.62725,
3.55657,2.67983,40.8533,-1.58571,2.65299,41.1504,-1.58468,2.74837,41.0894,-1.62804,
3.65645,2.67637,40.7975,-1.58583,2.65022,41.0811,-1.58189,2.74214,41.0332,-1.62804,
3.75764,2.66721,40.7352,-1.57984,2.64678,41.0091,-1.57411,2.73212,40.9631,-1.62413,
3.85649,2.65933,40.6754,-1.57683,2.649,40.9518,-1.58388,2.72669,40.9175,-1.62413,
3.95712,2.65289,40.6129,-1.5775,2.64848,40.8764,-1.58242,2.72066,40.8567,-1.62727,
4.05653,2.647,40.5516,-1.57729,2.64663,40.8007,-1.59205,2.71476,40.7979,-1.62804,
4.15845,2.64108,40.4881,-1.57916,2.64228,40.72,-1.60224,2.70744,40.7247,-1.63196,
4.25682,2.63888,40.4267,-1.57764,2.63899,40.6643,-1.59851,2.70323,40.6745,-1.62882,
4.36342,2.63639,40.3614,-1.57508,2.63691,40.5973,-1.58805,2.69652,40.5958,-1.62491,
4.45679,2.63345,40.2966,-1.57348,2.63202,40.5225,-1.58504,2.68974,40.5309,-1.62413,
4.55698,2.62974,40.232,-1.57325,2.62814,40.4662,-1.58673,2.68253,40.4663,-1.62413,
4.65742,2.62776,40.1653,-1.57311,2.62623,40.3943,-1.5899,2.67818,40.3987,-1.62413,
4.76546,2.62571,40.0954,-1.57247,2.62878,40.3054,-1.59068,2.6745,40.3297,-1.62413,
4.85889,2.62268,40.0238,-1.57371,2.62774,40.2285,-1.59482,2.66855,40.2561,-1.62725,
4.95713,2.62099,39.9529,-1.5749,2.62692,40.1553,-1.60109,2.66492,40.1873,-1.62803,
5.05672,2.61807,39.88,-1.57317,2.62421,40.0822,-1.59443,2.6588,40.1138,-1.62494,
5.15644,2.61322,39.8051,-1.56915,2.6172,40.0013,-1.58109,2.64995,40.0394,-1.62015,
5.27148,2.60913,39.7273,-1.56867,2.61333,39.9158,-1.58523,2.64209,39.9637,-1.62093,
