2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.6,42,-1.57,2.50053,41.7496,-1.57436,
2.627,41.9655,-1.60918,2.49839,41.5511,-1.5601,
2.67165,41.6726,-1.58066,2.70181,41.2488,-1.58292,
2.65046,41.0842,-1.58241,2.60011,40.7499,-1.57151,
2.62612,40.3984,-1.59001,2.60011,40.1499,-1.57151,
2.60608,39.6041,-1.58766,2.60053,39.4496,-1.57436,
2.59358,38.9256,-1.59346,2.70223,38.4485,-1.58577,
2.58156,38.1519,-1.60129,2.60011,37.7499,-1.57151,
2.50258,37.2713,-1.55117,2.49839,37.0511,-1.5601,
2.50833,36.4924,-1.56163,2.49882,36.1508,-1.56295,
2.55169,35.6599,-1.5631,2.49839,35.4511,-1.5601,
2.56836,34.7482,-1.58506,2.60139,34.7491,-1.58007,
2.57404,34.0506,-1.57057,2.49666,33.8522,-1.54869,
2.53518,32.991,-1.55826,2.49535,33.153,-1.54014,
2.54966,32.3193,-1.59592,2.60139,32.2491,-1.58007,
2.54414,31.6945,-1.59883,2.50096,31.3494,-1.57721,
2.54829,30.948,-1.61521,2.50308,30.6479,-1.59147,
2.58956,30.263,-1.59257,2.50096,29.9494,-1.57721,
2.59054,29.3126,-1.58787,2.59968,29.1502,-1.56866,
2.59237,28.5122,-1.57505,2.60053,28.3496,-1.57436,
2.59812,27.6905,-1.60678,2.39709,27.3519,-1.55154,
2.59383,26.8756,-1.61797,2.50223,26.5485,-1.58577,
2.57857,26.0823,-1.6289,2.60434,25.947,-1.60003,
2.57566,25.2838,-1.57242,2.60181,25.1488,-1.58292,
2.57769,24.4623,-1.56926,2.60096,24.2494,-1.57721,
2.59281,23.6165,-1.58647,2.60308,23.3479,-1.59147,
2.58965,22.7834,-1.6084,2.60223,22.6485,-1.58577,
2.58825,21.9954,-1.58506,2.60053,21.8496,-1.57436,
2.58713,21.1239,-1.58755,2.49839,21.1511,-1.5601,
2.56399,20.3061,-1.57933,2.60096,20.1494,-1.57721,
2.53533,19.5121,-1.59191,2.60223,19.4485,-1.58577,
